FID,lon,lat,Vs30,Z1(m),2s_Amp,3s_Amp,5s_Amp,10s_Amp
31,-117.434,34.100,329,320,0.2957,0.0405,-0.1196,-0.1678
32,-117.454,34.125,332,320,0.3158,0.0782,-0.0493,-0.1175
33,-117.439,34.100,335,320,0.2761,0.0159,-0.1372,-0.1778
34,-118.294,33.713,393,-999,-0.0061,0.0738,0.0472,-0.0834
35,-117.943,33.684,245,480,0.3632,0.4797,0.6682,0.5474
36,-117.923,33.872,351,640,0.6936,0.8711,0.9638,0.7172
37,-117.886,33.889,377,520,0.6606,0.7942,0.8218,0.5404
38,-118.128,34.137,367,320,0.4953,0.3594,0.1983,0.0536
39,-117.312,34.033,428,320,0.3924,0.2703,0.0153,-0.0997
40,-118.334,34.254,434,320,0.2096,0.2403,0.1455,0.0206
41,-117.213,34.136,362,320,0.2941,0.2042,0.1764,0.0424
42,-117.219,34.121,335,320,0.4005,0.3104,0.2324,0.0665
43,-118.316,34.103,413,320,0.4792,0.4329,0.3160,0.1704
44,-117.997,33.662,316,400,0.3979,0.5228,0.7365,0.6267
45,-118.497,34.311,373,100,0.5916,0.6964,0.6971,0.5387
46,-118.498,34.313,526,320,0.5870,0.6903,0.6906,0.5352
47,-117.879,33.597,390,-999,-0.2740,-0.2214,-0.0520,0.0003
48,-118.102,34.150,383,320,0.4875,0.3426,0.1909,0.0453
49,-118.260,33.929,301,740,0.6808,0.8443,1.0531,1.0421
50,-118.171,34.053,365,320,0.7769,0.7588,0.6478,0.4110
51,-118.299,34.118,1016,5,0.3789,0.2823,0.1153,0.0329
52,-118.178,34.037,349,380,0.7673,0.7988,0.7579,0.5388
53,-118.246,34.059,452,320,0.6934,0.6943,0.5851,0.3726
54,-118.378,34.000,396,580,0.6446,0.7821,0.9312,0.7619
55,-118.331,33.869,257,480,0.4142,0.5603,0.8995,0.7345
56,-117.955,33.932,332,580,0.7504,0.9284,0.9217,0.6385
57,-118.149,33.975,273,720,0.7621,0.9278,1.0418,0.9291
58,-119.066,34.108,419,320,-0.2013,-0.1192,-0.1375,-0.2240
59,-117.332,33.669,581,-999,-0.8839,-0.8683,-0.8928,-0.6973
60,-118.430,34.674,425,-999,-0.1680,-0.1730,-0.1626,-0.0566
61,-117.451,33.852,592,-999,-0.7104,-0.6525,-0.6101,-0.4822
62,-117.205,33.862,418,-999,-0.6867,-0.7501,-0.6886,-0.5014
63,-118.176,33.881,345,820,0.7361,0.9146,1.1963,1.2017
64,-118.291,34.615,505,-999,-0.2239,-0.2025,-0.1828,-0.1198
65,-118.285,34.617,427,-999,-0.2165,-0.1961,-0.1754,-0.1149
66,-117.991,34.521,442,-999,-0.1151,-0.0976,-0.1112,-0.1153
67,-117.250,34.051,343,320,0.4375,0.3432,0.1898,0.0257
68,-118.868,34.808,303,-999,-0.2666,-0.2664,-0.3186,-0.0909
69,-118.108,33.818,244,720,0.6747,0.8733,1.1833,1.1363
70,-118.088,33.798,262,660,0.6549,0.8493,1.1620,1.0956
71,-118.346,34.070,321,320,0.5585,0.5823,0.6151,0.4151
72,-118.117,34.073,330,320,0.7878,0.7622,0.6477,0.3659
73,-118.286,34.077,440,320,0.5988,0.5830,0.4632,0.2733
74,-118.434,34.030,290,700,0.5270,0.6533,0.7724,0.5892
75,-118.488,34.305,370,320,0.6047,0.7112,0.7126,0.5440
76,-118.411,33.943,425,520,0.4140,0.5774,0.7985,0.6786
77,-117.367,34.366,365,-999,-0.0337,-0.0801,-0.0223,-0.0659
78,-117.482,34.233,414,-999,0.1397,0.0880,0.1059,-0.0027
79,-118.800,34.013,350,-999,-0.9713,-0.8508,-0.8149,-0.6224
80,-117.117,34.067,351,320,0.5808,0.3002,0.2042,0.0597
81,-117.098,34.106,699,320,0.3970,0.1946,0.1399,0.0113
82,-117.045,34.079,387,320,0.5387,0.2677,0.1571,0.0093
83,-117.511,34.014,342,320,0.0635,-0.1987,-0.3475,-0.3476
