"StationName","longitude","latitude","Vs30_best","Vs30_geo","Vs30_slope","nrec","measured_class","H11_Z1_m","S4_Z1_m","lnEAF_mean_-1","lnEAF_mean_0","lnEAF_mean_0.01","lnEAF_mean_0.02","lnEAF_mean_0.022","lnEAF_mean_0.025","lnEAF_mean_0.029","lnEAF_mean_0.03","lnEAF_mean_0.032","lnEAF_mean_0.035","lnEAF_mean_0.036","lnEAF_mean_0.04","lnEAF_mean_0.042","lnEAF_mean_0.044","lnEAF_mean_0.045","lnEAF_mean_0.046","lnEAF_mean_0.048","lnEAF_mean_0.05","lnEAF_mean_0.055","lnEAF_mean_0.06","lnEAF_mean_0.065","lnEAF_mean_0.067","lnEAF_mean_0.07","lnEAF_mean_0.075","lnEAF_mean_0.08","lnEAF_mean_0.085","lnEAF_mean_0.09","lnEAF_mean_0.095","lnEAF_mean_0.1","lnEAF_mean_0.11","lnEAF_mean_0.12","lnEAF_mean_0.13","lnEAF_mean_0.133","lnEAF_mean_0.14","lnEAF_mean_0.15","lnEAF_mean_0.16","lnEAF_mean_0.17","lnEAF_mean_0.18","lnEAF_mean_0.19","lnEAF_mean_0.2","lnEAF_mean_0.22","lnEAF_mean_0.24","lnEAF_mean_0.25","lnEAF_mean_0.26","lnEAF_mean_0.28","lnEAF_mean_0.29","lnEAF_mean_0.3","lnEAF_mean_0.32","lnEAF_mean_0.34","lnEAF_mean_0.35","lnEAF_mean_0.36","lnEAF_mean_0.38","lnEAF_mean_0.4","lnEAF_mean_0.42","lnEAF_mean_0.44","lnEAF_mean_0.45","lnEAF_mean_0.46","lnEAF_mean_0.48","lnEAF_mean_0.5","lnEAF_mean_0.55","lnEAF_mean_0.6","lnEAF_mean_0.65","lnEAF_mean_0.667","lnEAF_mean_0.7","lnEAF_mean_0.75","lnEAF_mean_0.8","lnEAF_mean_0.85","lnEAF_mean_0.9","lnEAF_mean_0.95","lnEAF_mean_1","lnEAF_mean_1.1","lnEAF_mean_1.2","lnEAF_mean_1.3","lnEAF_mean_1.4","lnEAF_mean_1.5","lnEAF_mean_1.6","lnEAF_mean_1.7","lnEAF_mean_1.8","lnEAF_mean_1.9","lnEAF_mean_2","lnEAF_mean_2.2","lnEAF_mean_2.4","lnEAF_mean_2.5","lnEAF_mean_2.6","lnEAF_mean_2.8","lnEAF_mean_3","lnEAF_mean_3.2","lnEAF_mean_3.4","lnEAF_mean_3.5","lnEAF_mean_3.6","lnEAF_mean_3.8","lnEAF_mean_4","lnEAF_mean_4.2","lnEAF_mean_4.4","lnEAF_mean_4.6","lnEAF_mean_4.8","lnEAF_mean_5","lnEAF_mean_5.5","lnEAF_mean_6","lnEAF_mean_6.5","lnEAF_mean_7","lnEAF_mean_7.5","lnEAF_mean_8","lnEAF_mean_8.5","lnEAF_mean_9","lnEAF_mean_9.5","lnEAF_mean_10","lnEAF_sd_-1","lnEAF_sd_0","lnEAF_sd_0.01","lnEAF_sd_0.02","lnEAF_sd_0.022","lnEAF_sd_0.025","lnEAF_sd_0.029","lnEAF_sd_0.03","lnEAF_sd_0.032","lnEAF_sd_0.035","lnEAF_sd_0.036","lnEAF_sd_0.04","lnEAF_sd_0.042","lnEAF_sd_0.044","lnEAF_sd_0.045","lnEAF_sd_0.046","lnEAF_sd_0.048","lnEAF_sd_0.05","lnEAF_sd_0.055","lnEAF_sd_0.06","lnEAF_sd_0.065","lnEAF_sd_0.067","lnEAF_sd_0.07","lnEAF_sd_0.075","lnEAF_sd_0.08","lnEAF_sd_0.085","lnEAF_sd_0.09","lnEAF_sd_0.095","lnEAF_sd_0.1","lnEAF_sd_0.11","lnEAF_sd_0.12","lnEAF_sd_0.13","lnEAF_sd_0.133","lnEAF_sd_0.14","lnEAF_sd_0.15","lnEAF_sd_0.16","lnEAF_sd_0.17","lnEAF_sd_0.18","lnEAF_sd_0.19","lnEAF_sd_0.2","lnEAF_sd_0.22","lnEAF_sd_0.24","lnEAF_sd_0.25","lnEAF_sd_0.26","lnEAF_sd_0.28","lnEAF_sd_0.29","lnEAF_sd_0.3","lnEAF_sd_0.32","lnEAF_sd_0.34","lnEAF_sd_0.35","lnEAF_sd_0.36","lnEAF_sd_0.38","lnEAF_sd_0.4","lnEAF_sd_0.42","lnEAF_sd_0.44","lnEAF_sd_0.45","lnEAF_sd_0.46","lnEAF_sd_0.48","lnEAF_sd_0.5","lnEAF_sd_0.55","lnEAF_sd_0.6","lnEAF_sd_0.65","lnEAF_sd_0.667","lnEAF_sd_0.7","lnEAF_sd_0.75","lnEAF_sd_0.8","lnEAF_sd_0.85","lnEAF_sd_0.9","lnEAF_sd_0.95","lnEAF_sd_1","lnEAF_sd_1.1","lnEAF_sd_1.2","lnEAF_sd_1.3","lnEAF_sd_1.4","lnEAF_sd_1.5","lnEAF_sd_1.6","lnEAF_sd_1.7","lnEAF_sd_1.8","lnEAF_sd_1.9","lnEAF_sd_2","lnEAF_sd_2.2","lnEAF_sd_2.4","lnEAF_sd_2.5","lnEAF_sd_2.6","lnEAF_sd_2.8","lnEAF_sd_3","lnEAF_sd_3.2","lnEAF_sd_3.4","lnEAF_sd_3.5","lnEAF_sd_3.6","lnEAF_sd_3.8","lnEAF_sd_4","lnEAF_sd_4.2","lnEAF_sd_4.4","lnEAF_sd_4.6","lnEAF_sd_4.8","lnEAF_sd_5","lnEAF_sd_5.5","lnEAF_sd_6","lnEAF_sd_6.5","lnEAF_sd_7","lnEAF_sd_7.5","lnEAF_sd_8","lnEAF_sd_8.5","lnEAF_sd_9","lnEAF_sd_9.5","lnEAF_sd_10"
"Adelanto Receiving Station",-117.434,34.55,375,293.5,305.567447903521,41,"0",60,-999,0.659395335385116,0.42142495183082,0.421954566188225,0.407336214741597,0.403167744340678,0.38870566608427,0.380747841088178,0.379537480428095,0.382543084915684,0.37420350125942,0.365388299002489,0.353245176090906,0.345063106912884,0.330038529911441,0.326562509846083,0.322681245787161,0.32723619736722,0.328049823417291,0.325952083821295,0.347680401597844,0.377707431272626,0.399823386888171,0.445785176670015,0.505616846537596,0.556188959258596,0.524789899685783,0.476063744706526,0.417024048747533,0.423194147704021,0.530088060998488,0.495245635300128,0.444866153970896,0.43219294606651,0.413808954517194,0.401613141611652,0.367643245467467,0.325587399585657,0.331389152039774,0.357666701301477,0.386511905478299,0.431438844002379,0.45201991650671,0.489556657765532,0.52707026000445,0.513112450828745,0.507445797879992,0.504204149419718,0.498345834685386,0.489714563392078,0.487211874530504,0.495050884534203,0.538244768973398,0.593757088682051,0.656402099680872,0.739642013033989,0.775891771134128,0.806954709522824,0.827241887105433,0.802203105089012,0.85044908976069,0.837947122859636,0.786572884018463,0.799342764206094,0.833639417772511,0.892093203209628,0.878116758510468,0.911994632948709,1.00080221372674,1.1096852487072,1.20965658687531,1.25092524531617,1.26142694402927,1.28054839587655,1.33764472864516,1.35932411502237,1.36681350137317,1.37645460573023,1.40157129823773,1.42246600287392,1.38615204769018,1.31208082627399,1.30451868673209,1.28809747597163,1.33257933575427,1.4325313404483,1.48443774676486,1.49759675285984,1.44678097186074,1.42328927862629,1.40482922396741,1.35480740284873,1.30610046683521,1.21600219477009,1.14451884767482,1.07849715366689,1.11583251903828,1.09813353537347,1.0267050516886,0.976155758377827,0.927388764758744,0.900588168199791,0.856100386121551,0.794723767765379,0.796989751552321,0.844354960897264,0.839171435781549,0.821815043942432,0.525151125034867,0.539925718756538,0.54163276865535,0.539872935404681,0.538441372924233,0.537559741516916,0.540376736628432,0.542561372968601,0.544936029462847,0.539661907303292,0.539011529304407,0.528060896283475,0.531731932697536,0.537295569412119,0.531762537591077,0.524708422601813,0.514102761509529,0.512840035444841,0.509399887822711,0.502019215709548,0.505245260006776,0.501201296164847,0.49790917046203,0.513051232610175,0.533154629480173,0.542590792761242,0.568437751874971,0.595293919375653,0.614395205176242,0.657967074421339,0.670225635563386,0.677109594561212,0.683247784947013,0.70098892145612,0.694386735439729,0.686889053482506,0.667790797973592,0.654824805749537,0.653068318690793,0.657795121458873,0.647872271321509,0.632620117989799,0.64866456697542,0.635210830746172,0.634946735271465,0.632038302617696,0.620621128708893,0.6127592182396,0.607041559644502,0.589996717497248,0.574128760926476,0.552902659182288,0.538544685759314,0.546255897853203,0.569142583131459,0.575512526548484,0.570106762129918,0.55819454126686,0.543454374384932,0.529874404125526,0.506254560132775,0.49140715945977,0.486566090781918,0.473896820529038,0.480482592692621,0.475089341905266,0.47386114778603,0.473661444893355,0.485780231941815,0.475580563551027,0.460766971147228,0.458766870098567,0.428227977196276,0.385424533571842,0.399177055467654,0.411103350591222,0.403808259276984,0.403373291470263,0.399270009279963,0.370468196868348,0.360786783157371,0.425468559267162,0.444539134407892,0.469618882587296,0.49303997624499,0.434883421623132,0.425596989075528,0.422282687648811,0.417469629862136,0.418372440568851,0.405193916484242,0.399544122183793,0.413442731994135,0.42472030214675,0.39592059077574,0.272143269433205,0.255179073907495,0.291862876346575,0.302634356188802,0.296516961950227,0.324218242839737,0.330659110646239,0.323299478802331,0.290178935517532,0.203683363202188,0.190243623430331,0.177814512874231
"Agave Hill",-116.401,33.638,760,710.1,760,24,"2a_4b",40,20,-0.210408299225301,0.227441397967113,0.226707012695692,0.286583598809417,0.31959167904541,0.40321700197783,0.487720047918464,0.516094437258176,0.569112779749767,0.628407944055246,0.630692998744444,0.684311680649789,0.703301241657836,0.716632769343705,0.707569434147417,0.697414891065024,0.657978588042685,0.63062332994599,0.542524807582229,0.463877715179384,0.418687721449671,0.394567291367916,0.363130427180626,0.296312283791913,0.271848139143637,0.211259213442894,0.164968697313639,0.0669623235960694,-0.00154417954674753,-0.116647311591026,-0.185783644266419,-0.278768801090266,-0.304188110062328,-0.359008662446983,-0.454869038112398,-0.464812008234944,-0.47448407282566,-0.477769523225239,-0.47610115334682,-0.503048007819539,-0.534318696596529,-0.544132638493293,-0.559096665269862,-0.534747422836685,-0.511716473625168,-0.497792138683049,-0.489628178266521,-0.503926040112243,-0.519725852036803,-0.534488579238564,-0.552654733786538,-0.542836213716031,-0.536492566332781,-0.583281020295441,-0.599760242132368,-0.601498956071197,-0.614613505102313,-0.640115366099043,-0.621027511350182,-0.558871874627976,-0.543287325879375,-0.49287444490496,-0.473322688409184,-0.443041018955033,-0.379182110810031,-0.368914481053727,-0.363809500240664,-0.341562493287516,-0.340614324538372,-0.385037524506568,-0.417031372819785,-0.412169028604869,-0.433457599616378,-0.424926783104563,-0.417395585410402,-0.419852384724523,-0.406759547284523,-0.390156347514868,-0.390145805052402,-0.37706341464032,-0.287790591894156,-0.30102559754003,-0.198396993270897,-0.191781039064159,-0.207353541970062,-0.221768225062183,-0.159054819270318,-0.174415133423636,-0.180256540286573,-0.205082277221943,-0.232604331959558,-0.253304728342205,-0.174160392687469,-0.169950551941182,-0.175336419385666,-0.182892769114957,-0.182365025829149,-0.209202567181398,-0.234864378957884,-0.203403475199766,-0.140003249778003,-0.126866865174974,-0.144495502851898,-0.162441094311022,-0.251257797736479,-0.261686360728792,-0.269481253020279,0.472427438340912,0.646367461781048,0.645754284178529,0.664688431683923,0.675683740066651,0.699829630387444,0.742383231705856,0.758224201910448,0.783664873428685,0.817043449635611,0.824186848350329,0.840725083751438,0.841014909706054,0.837216886180417,0.830455741575321,0.815577164437432,0.807239850900705,0.811781090179223,0.812318180055397,0.751599607822208,0.685154879800229,0.673586940765676,0.649002595628957,0.630144958072266,0.618791336161755,0.604651055401918,0.565296638944864,0.549933380037612,0.539590788859073,0.537376864566375,0.508901493888341,0.439994978966887,0.431542583932797,0.435289019928529,0.446429481885152,0.434174894409095,0.437533750852596,0.460456914809841,0.474545206430019,0.471915085676957,0.465689001878006,0.453117057275716,0.478657740372484,0.47825129612615,0.491925633497293,0.496825633062558,0.484523889675338,0.436175866709627,0.417052902240024,0.415376367974738,0.427992613880779,0.445902491011886,0.416313903823271,0.412418767737451,0.398458115353664,0.395363677830183,0.403569741839981,0.416265987437632,0.420526826314967,0.430628442198089,0.449363908252337,0.451885445994191,0.456467772857797,0.453512737477087,0.488579512455687,0.465730930427925,0.453403709328304,0.436827427970118,0.438806917750522,0.458076223427213,0.481394874463706,0.463821059718658,0.446084960697577,0.443259740957361,0.437198285800263,0.421813826165035,0.414339079587333,0.42659154830771,0.449267893065144,0.458848934773402,0.446896498431603,0.438001021098989,0.393709961289406,0.406905976683854,0.4326537051017,0.446373790401265,0.374229533845914,0.386019722554523,0.347719359532975,0.340767691055678,0.35768880280725,0.345312163785931,0.230281834307376,0.230080639195179,0.236421893575576,0.27841907857395,0.299018205527104,0.251417075841848,0.278753861309822,0.275852690955708,0.256549315062602,0.256015254312309,0.237344693372779,0.286880405047333,0.158771682914809,0.149537823842044,0.134698037668155
"Agoura",-118.767,34.146,423.11,351.9,468.991271104017,18,"2a_4b",760,320,0.402117750996425,0.114638980209532,0.11728409227256,0.098423239831718,0.0935689021050417,0.0839854892550836,0.0751757222789177,0.0710804014417877,0.0531181760398263,0.0412341366685006,0.048335757624636,0.0388873786895941,0.0318294069434573,0.0271432689982991,0.024741808582631,0.0264264874325203,0.0238391122957896,0.0268922080743789,0.0235131356639246,-0.0208336651633954,-0.026775302986824,-0.026190911337355,-0.0196491784693924,-0.0272239737223527,-0.0243085392397487,-0.0398526865609016,-0.0752795297001386,-0.124897137063301,-0.130395446044663,-0.103237385846157,-0.0680146518636377,-0.0424190705602762,-0.0341617867671951,-0.00816355132685444,0.106437842351903,0.198612674578213,0.223098563473222,0.246696615223156,0.252108777513453,0.289055589742285,0.370879444407201,0.401634986225079,0.419198192111924,0.415313559720379,0.410368612244698,0.404938648409844,0.405691814545743,0.416285736583339,0.451597151382774,0.478995395944227,0.504436681721892,0.549596815465329,0.610447890454403,0.626697415801216,0.618259513097281,0.618217781716452,0.617440274072607,0.631345048090195,0.663048559105372,0.660955465670635,0.618549397829948,0.606980397815588,0.608454378054354,0.582040705671156,0.573681487669989,0.567165070570018,0.551834807600201,0.522487984160135,0.540786184103683,0.535473078820429,0.48409494647391,0.3892118639356,0.3819227882614,0.417383222773395,0.409552760544244,0.4051112706292,0.411561200548537,0.439132675183542,0.443467123158661,0.440075488500131,0.435743026823995,0.449917525324656,0.455448820066043,0.469144057855903,0.521353514136982,0.515683187722285,0.491844441257318,0.503328792788604,0.49123963733446,0.475852836878751,0.453540380016608,0.429997630050709,0.383607519759035,0.401651251498324,0.368182835708991,0.270692728852439,0.291861078287637,0.251442274837107,0.140967364108397,0.126059606836183,0.162632779771181,0.198292997877102,0.147271518212066,0.0636544313517766,NA,NA,NA,0.36066177290887,0.307825292389761,0.308780574041354,0.304733630443805,0.302179612043237,0.295814184744344,0.281792754163714,0.279483483378103,0.281667608209726,0.27078027921427,0.268663076999836,0.262731100753822,0.264258698176614,0.263749075455739,0.262421546151457,0.263631867222418,0.268811830660976,0.277882798778737,0.31103100928144,0.280737089332706,0.268480772768399,0.279046582946459,0.292658882366555,0.318154683727813,0.358274671191194,0.355260824119467,0.345537425446901,0.322031550477838,0.311409287816425,0.323366846215975,0.361072422274023,0.370111211344044,0.377035308119115,0.371254057996042,0.39558127560832,0.393538607732609,0.399892281840055,0.376793080690013,0.375555013466275,0.406704659065395,0.437098573250176,0.410173545514859,0.436836698273808,0.474286327563436,0.477655543197357,0.482518013543645,0.479510462927128,0.472846586901421,0.484437139728987,0.490496104534949,0.506221813712314,0.535881003848949,0.546029661856313,0.518951594090162,0.534147041377774,0.544613850878326,0.552856988592426,0.574882448085829,0.59474207542176,0.499803045789801,0.440839627399721,0.357381222953683,0.343660290535295,0.360518212289056,0.364513818153027,0.377849153996548,0.390666210722466,0.357946644102026,0.336916604990594,0.346973486170891,0.358117184861424,0.31624998303741,0.29654462873595,0.260987648224968,0.258023992430881,0.275301247424073,0.296310575931358,0.279242606781388,0.282236459744443,0.295619401659501,0.299665170538721,0.298925428711766,0.294575584029935,0.286801700126044,0.31921393846517,0.324267265141788,0.30705585249795,0.293743199663192,0.290938452805994,0.304371662016849,0.330254930063124,0.334726731676274,0.356015987303053,0.364765365108807,0.369276651946004,0.193394790604381,0.162910591928083,0.152308692978262,0.178624813301924,0.260592799228428,0.32338419759395,0.350736537782165,0.267491776048015,0.201226389327693,NA,NA,NA
"Alameda Fire Station #1",-122.244,37.763,288.29,307.6,237.905965853739,4,"2a_3a_4b_4c",249,249,0.439226205647069,0.306924273446363,0.301671782245221,0.290974069591111,0.286203731402328,0.27472080769317,0.259569273582221,0.255908226986536,0.24557312934694,0.228308440588255,0.222377935855255,0.199866385951308,0.19108893026841,0.186626214583501,0.186238549995698,0.18627503070838,0.18491393212831,0.180005036402767,0.151150544764325,0.14946836088997,0.152375225195502,0.159486903797651,0.170552329320979,0.188019704872572,0.148379257298718,0.150193541370264,0.108248548111516,0.0659119885759443,0.0549784569441895,0.13620526500398,0.214689056740042,0.296955487260286,0.297261929641521,0.308178661040106,0.387573768493784,0.455197081834585,0.514459881355807,0.480300222614172,0.484314338728725,0.423924389454053,0.382377081947564,0.277943220525747,0.250000064620685,0.235365018042634,0.270953758148958,0.322723378800526,0.402104869145683,0.519832724255741,0.475145297708999,0.478287467227393,0.482021419302904,0.447586665832776,0.416979135184699,0.423296743922222,0.408840040549428,0.390209853352333,0.387154783235309,0.355596703346506,0.391713518499821,0.484067249003522,0.611870087380172,0.751264863653158,0.796417634454784,0.839516776350074,0.845064718316104,0.741227949918867,0.66706037641185,0.624788528225772,0.580711423541272,0.502242976716627,0.547471249063092,0.572834392999445,0.636733745540691,0.769872725291604,0.880365228567366,0.928177041324826,0.952545812007001,1.08914692648282,1.14999717062656,1.15017244632032,1.07518685562161,0.985854608456846,0.932156220938947,0.854255921663519,1.16681040681663,1.08206844901794,0.973640100522318,0.954492469484152,0.927447144365927,0.922026522091313,0.883779917984221,0.909148238900056,0.947017301975873,1.00247455815193,0.958911162846986,0.946716579317831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805514280439563,0.70728646700575,0.708043584164843,0.706988553659161,0.704547715810205,0.707039427238054,0.707520425330658,0.706607921511864,0.705000245477992,0.700374341032945,0.697219073428673,0.687810947434323,0.683895049474397,0.687606504598679,0.687708437941315,0.686744352998154,0.680907844323171,0.67927363071713,0.701656285782028,0.705662332306794,0.712221200589874,0.723920670851532,0.730699801516657,0.731531341724706,0.802295437211558,0.805516349196986,0.814999237140631,0.743016622996447,0.703825431303528,0.752391363637838,0.797681081595625,0.78257308407692,0.781054128368831,0.74800733668584,0.66785574498505,0.613144756429879,0.593373402431951,0.577692575749361,0.569514169246135,0.570051161041319,0.646973260133774,0.735058803918509,0.799231269397391,0.824083376069686,0.970724899460563,1.01496066350011,1.01268094953592,0.988431166760004,0.997675837282692,0.934932107551153,0.892387455039071,0.82928929786963,0.758786113367633,0.745492841609774,0.735468664098481,0.749258930393338,0.765685926362568,0.756460654102955,0.752261176028403,0.744570904294695,0.8268641610321,0.786755851735832,0.746465007530075,0.752137459291361,0.820668921602025,0.834287940293915,0.824843797175013,0.804986856227113,0.760193420993967,0.808193272355865,0.772812593977146,0.815348693007374,0.809575346249632,0.809518644900988,0.745182388554875,0.744272865532446,0.736034367212962,0.784928076641022,0.746195378377487,0.673969377225678,0.734910670153662,0.740023137034832,0.72232769223806,0.722086908525868,0.141125960637197,0.0713466179509406,0.0315265680183768,0.0821425779767239,0.126707794003389,0.158820202111423,0.200822009958277,0.237262847179578,0.203268734602345,0.208057217243565,0.228372959878217,0.236906788226159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albany; Fire Station No. 1",-122.299,37.888,299.4,293.5,342.737747388658,11,"2a_4b",29,29.3,0.662710366128835,0.798847886659926,0.802554812425257,0.783806790859902,0.780601435578173,0.774349706695237,0.770164091806987,0.769572698902665,0.765595748935755,0.763768209059861,0.763426758134317,0.759451736337805,0.741341162107294,0.744245359619789,0.754434519534758,0.7591461034304,0.775466022326913,0.779723328602992,0.808433460706627,0.845708337797291,0.842283824626465,0.840953959685493,0.864332015019994,0.91066503491875,0.915959755545702,0.935716827592001,0.923156952022986,0.875672706497394,0.849317566619857,0.74869985533393,0.702480770288227,0.736498910902683,0.731942637513049,0.766667239412014,0.82743129110368,0.893230087768725,0.985940841745363,1.14058843925288,1.2646606760636,1.34322681005183,1.43959394910335,1.35382390123992,1.27660294699115,1.21835448410832,1.0595772155423,0.954934648624722,0.864610109222723,0.71791957836378,0.632325223576862,0.577962407238847,0.524355603234545,0.434454378345742,0.418499454742562,0.391564451250235,0.355321044501658,0.345235100920409,0.331750202886364,0.322432779748302,0.325362791676337,0.222593269112434,0.145314589672355,0.115089110726439,0.116151247738434,0.158368435500708,0.121698661473283,0.0847777111379381,0.0474684886171697,0.0168160450136501,0.0382036869744305,0.0374244084874375,0.0862438326601908,0.0697420920991693,0.0711766391730612,0.118089893354351,0.133071868335843,0.11550124408418,0.134911778904232,0.143064497726392,0.159249780631879,0.148411930584373,0.115659066740586,0.129865752253636,0.133976038727161,0.13444812332087,0.132673488722651,0.139447824574516,0.109771492331557,0.121952513202384,0.109430844776226,0.0478256424523318,-0.00255340001057943,0.023133194325801,0.0359599055697348,0.0899282840890615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388967134559595,0.404841889531489,0.405251041510268,0.399276110996016,0.3980258750675,0.39479532228749,0.387752958288889,0.387540035415801,0.384308255261383,0.389325273964836,0.389817372805027,0.404668569647139,0.398982536546496,0.403931159584949,0.413872554827135,0.421067544555938,0.425467662854411,0.443226737579164,0.476705472504407,0.47737061020536,0.42669190329432,0.420461590713344,0.4414181450458,0.427270997310583,0.41857657965934,0.402016594728836,0.412738197207657,0.423631040257565,0.44891612395286,0.449778046538976,0.457917419559205,0.528055078859067,0.516429727679239,0.498494030270479,0.434559375645531,0.446728232485326,0.435991650995461,0.407526190594598,0.386818192190765,0.393997304732976,0.489113699054155,0.581194014905102,0.56454180720854,0.544010685839074,0.52517369573354,0.517382412515858,0.499791296540221,0.494497330496645,0.48614202105747,0.486815083975295,0.483776990648334,0.426256247404202,0.359188528286828,0.345345670910418,0.347082762611763,0.358091416453524,0.37000952988995,0.377113599246777,0.379383814941186,0.396885913554616,0.394443018540401,0.427699627103816,0.422585832037169,0.415130523866123,0.440238189003991,0.483592765561358,0.502761826223254,0.483689260081596,0.447327574058373,0.453274570668503,0.456019559942292,0.446017423302707,0.407045153862586,0.359571760978921,0.338466940703661,0.344200728051261,0.332339958183591,0.329477009351885,0.343469660330856,0.346383049763216,0.383861469306521,0.316718647432967,0.309260810413885,0.313480517597323,0.300886399307592,0.28017617353525,0.332249849941627,0.340887402908366,0.321330635096449,0.361930348552472,0.331576572239918,0.331794654966078,0.354560861606584,0.351045296358318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alder Springs CA USA",-122.716,39.655,760,733.4,702.551936384084,9,"2a_4b",-999,-999,-1.41084786012132,-2.24528861179263,-2.25287266066386,-2.26118346142331,-2.26329959340863,-2.26477747149509,-2.26386556224138,-2.26248323268404,-2.2588683404269,-2.25267782266406,-2.25005618079464,-2.23932862237603,-2.23414460773598,-2.22832686629821,-2.22632315941975,-2.22530077476174,-2.22446327451016,-2.22462962670667,-2.23574935989865,-2.25586699544293,-2.29092593804681,-2.30710862887431,-2.33389916316164,-2.38187098720602,-2.42934765620946,-2.46906929044356,-2.50979872423969,-2.55166784377889,-2.59278897909195,-2.6739471200602,-2.75572647196943,-2.81938962750743,-2.83761440259924,-2.85524809093263,-2.87442818273869,-2.90946102185474,-2.91185328996692,-2.90452722897224,-2.91489458830903,-2.90050636569967,-2.88042674825577,-2.78066357623846,-2.73856604528014,-2.71760910622238,-2.66885218552828,-2.66309622299928,-2.64632697182197,-2.62076623721322,-2.633379804774,-2.60786992141026,-2.56597497069491,-2.47741935300187,-2.36081385304681,-2.32529663629656,-2.30712521614958,-2.28372684914033,-2.26844720857065,-2.23556955343636,-2.18625358489316,-2.05691707142838,-1.97655745461394,-1.98408611687845,-1.98508050026056,-1.91690667725229,-1.75848663367331,-1.68826576398809,-1.62376423285239,-1.61298126077627,-1.57108706909205,-1.54852438887524,-1.49112579817944,-1.40023147944421,-1.27996534509836,-1.17474156545295,-1.18694085052544,-1.16332575017569,-1.06090059051381,-0.974942699927258,-0.908577929508899,-0.807317829811801,-0.671296368591872,-0.611590383437513,-0.579496823366021,-0.530190106115801,-0.460758552519186,-0.431601142058633,-0.49404535868255,-0.450385935513326,-0.38892888233749,-0.318018682020736,-0.38182093983432,-0.378885617175291,-0.369600171622691,-0.280540946476564,-0.370658677363845,-0.321871635131115,-0.350600530697487,-0.323683788881718,-0.364431547880889,-0.333418435839217,-0.283990408054283,-0.337801877238222,-0.127134442568187,-0.0809708150811144,0.0274634561410378,NA,NA,0.631221111702081,0.696010158596531,0.697109478905697,0.699012059910351,0.701015297960754,0.705908024686593,0.715259430240721,0.718371718329751,0.726297482521076,0.739371983042428,0.744069380548093,0.763895028245925,0.77614097711678,0.786911630800892,0.793084204747577,0.799165535588887,0.811131564579923,0.820147386753931,0.84550548568182,0.864704224153876,0.883803612337394,0.891716135484427,0.90273276576534,0.912757800778763,0.913115991631185,0.899267061339439,0.886698477608542,0.875991229916559,0.865196125094738,0.834569894662161,0.812080435845593,0.785627549558772,0.783990578067742,0.78705197274407,0.747462165098669,0.712997725783275,0.676316673796898,0.667312640099766,0.658527142623147,0.632056434305468,0.583278158456804,0.573424224639252,0.587279023463819,0.612439000897318,0.633942787746348,0.63518808528483,0.618591515868955,0.545145873189922,0.502375352727956,0.495224011763498,0.51964256828568,0.524619955691329,0.519059226972644,0.530540190305326,0.519751081431632,0.505280964910433,0.491007529639499,0.474822800746111,0.45117541435039,0.398563589804084,0.385387724973197,0.3462235488672,0.343722133531055,0.33046634873616,0.36569656869796,0.380246955971438,0.37336228703319,0.412764592333624,0.439281717973355,0.458144948764158,0.453724526917921,0.399177453587211,0.513913910733589,0.490120124828474,0.390374255742018,0.369965310531091,0.393721460806659,0.423602125521297,0.454456915914844,0.481413368746062,0.496106946426441,0.42986082119753,0.437625426352032,0.504465309706116,0.457388124565893,0.478928394227712,0.579305246075332,0.580433182114994,0.596802897690942,0.60001294832995,0.618505199812642,0.562999408460664,0.51984615668377,0.557188466431293,0.422358383807042,0.433886713854475,0.521367548492031,0.598219913141021,0.47065034783335,0.474328578637061,0.368559798970956,0.367695144430162,0.169087988988284,0.183061903037497,0.125093437352938,NA,NA
