FID,longitude,latitude,Vs30,EAF1,EAF2,EAF3,EAF4,EAF5,2sec_Amplification,3sec_Amplification,5sec_Amplification,10sec_Amplification,StationNam,
30,-118.918,34.397,420,4.392884022,3.958865465,4.249250889,3.558115206,3.778001347,0.956641495,1.043006897,0.926596284,0.885705531,FillmorePacBell,
31,-117.434,34.1,329,1.51275106,1.41907011,1.138725442,0,0,0.295710653,0.040453047,-0.119625345,-0.167837098,Fontana-ArrowSierra,
32,-117.454,34.125,332,1.684953318,1.39989669,1.232531328,0,0,0.315823406,0.078155644,-0.049279518,-0.117487691,Fontana-CitrusBaseline,
33,-117.439,34.1,335,1.47211091,1.769041233,1.403854439,1.44069738,1.466014535,0.276073456,0.015906174,-0.137214363,-0.177833229,FontanaArrowHwyandBennett,
34,-118.294,33.713,393,2.038176862,2.066809815,1.659786573,1.653543716,1.489919002,-0.00614995,0.073774807,0.047201782,-0.083442561,FortMacarthurPark,
35,-117.943,33.684,245,4.250550645,3.93060282,3.740093206,3.525424991,3.344437877,0.363204747,0.479662448,0.668247819,0.547441125,FountainValleyI-5,
36,-117.923,33.872,351,3.360246763,4.096210081,4.071526924,4.358945531,4.217488257,0.693552315,0.87111789,0.963802457,0.717203796,Fullerton,
37,-117.886,33.889,377,3.215542652,3.726383362,3.401267171,3.398054752,2.998309154,0.66056931,0.794190407,0.821770549,0.540385425,Fullerton-CSUFullertonGrnds,
38,-118.128,34.137,367,2.739240818,2.909945251,2.395660685,2.154870332,2.022395425,0.495328009,0.359419763,0.198337659,0.053586293,Geol.Surv.Anal.,
39,-117.312,34.033,428,2.126542227,1.451449081,1.485058633,1.560988039,0,0.392434329,0.270334154,0.015315204,-0.09972059,GrandTerrace-MtVernon,
40,-118.334,34.254,434,2.136782475,1.800321651,1.865734361,1.780271294,1.602521352,0.209551871,0.24030073,0.145500556,0.020600015,GreenVerdugoMicrowaveSite,
41,-117.213,34.136,362,1.840923939,1.749039459,1.712386448,1.467886118,1.728766736,0.294113994,0.204172418,0.176397949,0.042390145,HighlandFireStation,
42,-117.219,34.121,335,1.523741451,1.621575163,1.529527908,1.695371088,1.712986325,0.400534987,0.310418099,0.232405826,0.066460706,HighlandBaseline,
43,-118.316,34.103,413,1.97656026,1.716369322,1.60660254,0,0,0.479214162,0.432908207,0.316049397,0.1704247,Hollywood-FranklinBronson,
44,-117.997,33.662,316,2.445146777,3.261095702,3.529544007,3.352446857,3.830592648,0.39787057,0.522838354,0.736503184,0.626744688,HuntingtonBeach-LakeSt,
45,-118.497,34.311,373,4.096353076,3.744548415,3.440887782,3.547717573,3.104048425,0.591647863,0.696373463,0.697088778,0.538734555,JensenFilterPlantAdministrativeBuildingFreeField(K2),
